Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-02;11426.38;11617.28;11414.82;11598.33;48923819
2017-01-03;11631.7;11637.37;11561.23;11584.24;91147885
2017-01-04;11609.53;11616.09;11531.43;11584.31;84715048
2017-01-05;11537.73;11602.54;11537.4;11584.94;77242248
2017-01-06;11560.52;11605.74;11547.05;11599.01;69159741
2017-01-09;11606.89;11606.89;11522.35;11563.99;81163086
2017-01-10;11583.24;11606.95;11544.99;11583.3;88738896
2017-01-11;11587.53;11692.27;11524.99;11646.17;101228849
2017-01-12;11599.24;11606.43;11491.87;11521.04;101596108
2017-01-13;11576.78;11635.55;11554.45;11629.18;82608883
2017-01-16;11537.45;11579.05;11535.96;11554.71;62995014
2017-01-17;11521.5;11583.43;11425.14;11540;87255014
2017-01-18;11592.12;11599.39;11529.76;11599.39;82308118
2017-01-19;11624.11;11644.88;11578.91;11596.89;91888979
2017-01-20;11568.9;11636.79;11547.04;11630.13;114827713
2017-01-23;11545.97;11605.29;11508.83;11545.75;80310853
2017-01-24;11554.8;11596.18;11538.05;11594.94;81681377
2017-01-25;11677.63;11827.73;11669.3;11806.05;123211679
2017-01-26;11867.91;11893.08;11819.76;11848.63;93495655
2017-01-27;11841.72;11844.68;11798.26;11814.27;73417337
2017-01-30;11786.31;11792.33;11659.35;11681.89;77630121
2017-01-31;11692.53;11733.16;11535.31;11535.31;100426438
2017-02-01;11646.42;11723.39;11622.6;11659.5;97419186
2017-02-02;11628.28;11675.98;11603.65;11627.95;100632928
2017-02-03;11636.23;11696.94;11627.98;11651.49;82665350
2017-02-06;11628.03;11679.91;11509.58;11509.84;95252695
2017-02-07;11498.49;11606.26;11483.83;11549.44;72245507
2017-02-08;11546.93;11591.26;11479.78;11543.38;98264799
2017-02-09;11584.4;11657.24;11548.18;11642.86;110083284
2017-02-10;11698.7;11711.55;11645.13;11666.97;79222833
2017-02-13;11697.99;11812.69;11684.91;11774.43;79031312
2017-02-14;11766.99;11787.82;11752.68;11771.81;72651288
2017-02-15;11834.48;11848.04;11725.38;11793.93;88876094
