Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-02;31.2049;31.2049;30.0039;30.0039;5506.224441756
2017-01-03;30.0039;30.2661;30.0039;30.0039;8800.1713787682
2017-01-04;30.0039;30.0039;29.2747;29.3257;7017.0481035323
2017-01-05;29.3257;30.0039;29.3257;30.0039;428993.61038104
2017-01-09;30.2087;30.2596;30.0039;30.0573;4346.7551199278
2017-01-10;30.2661;30.2661;30.0039;30.2135;2807.0702087986
2017-01-11;30.2397;30.2397;30.1561;30.2342;1776.849090594
2017-01-12;30.2342;30.2342;29.7441;29.7441;7235.3897290714
2017-01-13;29.5871;29.5871;29.3568;29.5353;122981.54800336
2017-01-16;29.5353;29.639;29.2213;29.2213;6377.0812700556
2017-01-17;29.2747;30.6302;29.2747;30.6302;3558.7175289016
2017-01-18;30.5792;31.2574;30.031;31.2574;1533.4107264872
2017-01-19;31.3619;32.3524;31.3085;32.3524;11915.931471949
2017-01-20;32.3262;32.4472;32.3262;32.3524;2653.9801035355
2017-01-23;32.3524;32.7182;31.8304;32.6138;56550.481014625
2017-01-24;32.7652;33.5263;32.6648;32.9015;1932.4488697138
2017-01-25;33.6052;33.9191;32.9269;33.9191;3316.5340017231
2017-01-26;33.8657;33.9191;33.1462;33.8873;4016.7330077623
2017-01-27;33.8873;33.8873;33.7877;33.7877;244.69320103519
2017-01-30;33.7877;33.7877;33.1301;33.1301;734.07960310557
2017-01-31;33.119;33.119;30.7928;32.8744;8408.662257112
2017-02-01;32.8592;32.8592;32.5875;32.5875;168.14814840367
2017-02-02;31.5858;31.8304;31.5858;31.7372;291.12216738545
2017-02-03;31.7835;32.0918;31.7835;32.0918;135.52238826564
2017-02-06;32.7127;32.7127;32.6816;32.6911;612.36042105217
2017-02-07;32.6552;32.6552;31.9357;31.9404;624.90879033602
2017-02-08;31.9875;32.1285;31.6001;31.6224;4974.1735841205
2017-02-09;31.6272;31.9357;31.6272;31.9357;3457.0757377023
2017-02-10;32.3524;32.3524;31.6224;31.6224;5016.8380396856
2017-02-13;31.6224;32.0918;31.6224;31.8304;19659.530157017
2017-02-14;32.1436;32.6082;32.087;32.6082;1080.41459534
2017-02-15;32.6138;32.6186;32.2432;32.2432;1192.0950819663
2017-02-16;32.1954;32.8226;32.1022;32.3524;938.61802243243
2017-02-17;32.8696;32.8696;32.3524;32.3524;1722.8911026734
2017-02-20;32.3524;32.6138;32.3524;32.3524;818.15367730742
2017-02-21;32.5875;32.8744;32.405;32.8744;2088.0486488336
2017-02-22;33.0003;33.2864;32.6138;33.2402;921.05030543503
2017-02-23;33.2864;33.657;33.1358;33.657;2248.667775667
2017-02-24;33.657;33.657;32.8744;33.657;632.43781190634
2017-02-27;33.657;33.7087;33.0306;33.7087;1625.0138222593
2017-02-28;34.9623;37.0439;34.179;34.967;14318.944189807
2017-03-01;35.6508;36.1561;35.6508;35.8485;10285.898301977
2017-03-02;36.2668;36.4175;35.7488;35.7975;9314.6545194063
2017-03-03;35.7975;36.0055;35.2221;35.7449;2938.8280862791
2017-03-06;36.2612;36.2668;35.7449;36.0263;7157.5898395115
2017-03-07;36.4702;36.4757;36.031;36.058;2622.6091803259
2017-03-08;36.2668;36.2668;36.0055;36.1624;38961.431789445
2017-03-09;36.1624;36.1624;35.8748;35.8748;57197.976869672
