Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-02;1.11278;1.11278;1.08508;1.10729;333883.03997837
2017-01-03;1.11278;1.11844;1.10172;1.10729;107829.42787777
2017-01-04;1.11278;1.11278;1.09622;1.11278;115071.97467516
2017-01-05;1.11278;1.11278;1.09622;1.09622;50915.091427078
2017-01-09;1.09622;1.11278;1.09622;1.10172;121426.62818562
2017-01-10;1.11844;1.11844;1.10172;1.11278;98248.469057353
2017-01-11;1.11278;1.11278;1.09622;1.09622;85846.847828938
2017-01-12;1.10729;1.11278;1.10172;1.10729;52253.838589559
2017-01-13;1.10172;1.10729;1.09622;1.09622;130061.92414173
2017-01-16;1.09622;1.10729;1.0795;1.10729;59223.863685022
2017-01-17;1.10729;1.11278;1.09622;1.11278;244190.74767334
2017-01-18;1.11278;1.11278;1.09622;1.11278;91819.719784618
2017-01-19;1.10172;1.11278;1.10172;1.10729;19325.179489909
2017-01-20;1.10172;1.11278;1.10172;1.10729;45703.2708602
2017-01-23;1.11278;1.16852;1.11278;1.14073;335200.43751444
2017-01-24;1.14073;1.14623;1.1295;1.1295;39079.863228944
2017-01-25;1.14623;1.14623;1.12401;1.1295;78947.150914618
2017-01-26;1.13508;1.14073;1.09622;1.09622;245475.49283959
2017-01-27;1.10172;1.11278;1.09057;1.10729;189202.90104183
2017-01-30;1.10729;1.10729;1.09622;1.10172;44025.441395779
2017-01-31;1.09622;1.13508;1.09622;1.1295;354034.57559671
2017-02-01;1.13508;1.14623;1.11844;1.1295;596254.87833766
2017-02-02;1.13508;1.1518;1.10729;1.14073;819657.36918123
2017-02-03;1.14073;1.14623;1.1295;1.1295;497220.24068396
2017-02-06;1.13508;1.16295;1.12401;1.15729;405577.59721257
2017-02-07;1.16295;1.16852;1.1518;1.1518;425351.11885727
2017-02-08;1.1518;1.17959;1.14073;1.14073;702582.29720386
2017-02-09;1.16295;1.17959;1.1295;1.1518;610272.791872
2017-02-10;1.15729;1.17959;1.14623;1.1518;498234.97586902
2017-02-13;1.16295;1.17402;1.16295;1.16852;348787.59093926
2017-02-14;1.17402;1.17402;1.15729;1.16852;335603.56869563
2017-02-15;1.16852;1.16852;1.15729;1.16295;289613.96166934
2017-02-16;1.16295;1.16295;1.1518;1.1518;156756.49232717
2017-02-17;1.1518;1.16295;1.11278;1.11278;221616.65738668
2017-02-20;1.11278;1.14073;1.11278;1.13508;203574.96720264
2017-02-21;1.13508;1.15729;1.12401;1.13508;106939.02287008
2017-02-22;1.1518;1.1518;1.11844;1.1295;345001.17190092
2017-02-23;1.13508;1.14623;1.11844;1.12401;83461.96897195
2017-02-24;1.13508;1.16295;1.10729;1.1295;897511.92156738
2017-02-27;1.15729;1.16295;1.1295;1.13508;125722.92653726
2017-02-28;1.14073;1.15729;1.1295;1.14623;567479.34950661
2017-03-01;1.15729;1.16852;1.14073;1.16295;685468.68783884
2017-03-02;1.16852;1.17402;1.1518;1.16852;357402.79312933
2017-03-03;1.16852;1.17402;1.11278;1.14623;314790.19465831
2017-03-06;1.13508;1.16295;1.13508;1.16295;359768.83408066
2017-03-07;1.16295;1.16852;1.14073;1.15729;251773.63263306
2017-03-08;1.1518;1.16295;1.13508;1.13508;217499.94706903
2017-03-09;1.1518;1.1518;1.10729;1.11844;147605.03775588
2017-03-10;1.1295;1.14623;1.1295;1.14623;55482.655620268
2017-03-13;1.14623;1.14623;1.12401;1.14073;93749.977184929
2017-03-14;1.14073;1.14073;1.1295;1.13508;29463.740317959
2017-03-15;1.14073;1.14623;1.11844;1.14073;333693.40506136
