Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-02;68.7758;69.4132;68.501;69.1709;201326.23416245
2017-01-03;69.501;69.9142;68.1699;68.4924;1491922.4683107
2017-01-04;68.856;69.9066;67.3531;69.9066;1438351.5892327
2017-01-05;69.5917;72.4848;69.4457;72.2014;1889444.0038142
2017-01-09;72.17;72.17;70.9094;71.6041;1184998.1573742
2017-01-10;71.3608;72.3312;71.0297;71.3608;1128437.3781043
2017-01-11;71.3608;71.4667;68.7663;69.0659;1592493.3627432
2017-01-12;69.3827;70.9657;68.9772;69.8178;1482663.523973
2017-01-13;69.8102;70.586;69.106;69.9066;813962.33780132
2017-01-16;69.6632;70.2863;68.6375;68.7262;1042628.3953799
2017-01-17;69.0172;69.7844;68.6537;69.2606;854473.23223457
2017-01-18;69.2606;69.6069;68.9609;69.2997;1271089.0479681
2017-01-19;69.2997;69.9066;69.106;69.9066;956524.92897029
2017-01-20;69.9066;69.9314;65.4618;66.6746;4169450.9250897
2017-01-23;66.6823;67.4819;66.1155;66.5115;1881012.967346
2017-01-24;66.8349;67.0783;66.1479;66.521;2317633.761966
2017-01-25;66.4714;66.7624;65.2185;66.6012;1978982.7638898
2017-01-26;67.0783;67.0783;65.7748;65.8664;1840359.547001
2017-01-27;65.8721;67.3283;65.6231;67.3283;936862.64106267
2017-01-30;67.3598;67.4018;65.7109;65.7109;707205.19001
2017-01-31;66.0277;66.4962;65.6069;65.6069;643506.58732369
2017-02-01;66.2615;66.5678;65.687;66.1078;970478.84451713
2017-02-02;66.2691;66.5038;65.9628;66.0277;1444032.7139927
2017-02-03;66.1479;67.3197;65.8903;67.3121;1615215.7658139
2017-02-06;67.4819;68.4104;67.2882;68.4104;1298874.2648583
2017-02-07;68.2901;68.4924;67.5143;68.0392;876703.08252219
2017-02-08;67.9018;68.0554;67.4895;67.7243;843574.19192761
2017-02-09;68.1613;71.9266;67.6021;70.23;2150382.7485325
2017-02-10;71.4982;71.4982;69.0172;69.0564;1332585.8349155
2017-02-13;69.501;70.2138;69.0983;70.2138;503482.21496466
2017-02-14;70.23;71.2644;69.5182;70.626;1033408.2264741
2017-02-15;71.0373;72.2492;70.6098;72.2492;1491923.5162954
2017-02-16;72.2262;78.1414;71.6518;75.5641;3690357.4087812
2017-02-17;75.9906;77.3008;74.4391;74.7559;2236003.0940208
2017-02-20;74.7559;75.5641;74.5221;74.9973;453020.70632808
2017-02-21;75.1194;77.8752;75.0946;77.8752;940095.67369219
2017-02-22;77.9553;77.9887;74.8847;75.9677;1604415.2360636
2017-02-23;76.1939;77.9067;75.9591;77.9067;1068561.8234026
2017-02-24;77.6242;77.8676;76.2263;76.3713;1504376.7178307
2017-02-27;76.2902;77.2445;75.7253;76.2502;861526.16889475
2017-02-28;76.5908;76.8971;75.8618;76.129;1150459.7274323
2017-03-01;76.4114;79.3208;76.3141;77.503;1463259.0402881
2017-03-02;77.9802;79.1357;76.921;77.0994;1429039.1976782
2017-03-03;76.962;79.2006;76.5813;77.7292;1404183.0978704
2017-03-06;77.9887;79.2006;77.6004;78.901;877206.11515174
2017-03-07;78.8361;79.6767;78.045;79.3542;1844297.8732966
2017-03-08;78.7149;80.735;78.7149;80.089;949045.46255964
2017-03-09;80.0727;80.089;78.4725;79.7264;1347112.9980631
2017-03-10;79.7264;80.6949;78.9086;80.4124;1365825.8118824
2017-03-13;80.7035;82.3123;80.4048;81.5031;1152037.9923075
2017-03-14;81.6243;83.8858;80.8972;83.4048;973263.33971863
2017-03-15;83.4048;85.0976;82.109;83.6463;861782.92513275
2017-03-16;83.8858;85.5881;83.8037;84.9812;963095.79269381
2017-03-17;84.8572;87.5671;84.6587;87.404;3193505.7926648
2017-03-20;86.715;86.9564;85.5881;86.5175;1001465.6544975
2017-03-21;86.069;86.8352;84.4096;84.8572;1233686.4759916
2017-03-22;82.4335;83.6463;81.9487;82.151;1515858.4376003
2017-03-23;82.109;85.3801;82.0289;85.3801;1068540.8637097
2017-03-24;85.2637;85.339;83.7694;85.339;807602.11899142
2017-03-27;84.1272;84.2102;81.3428;82.3514;1001776.9059371
2017-03-28;82.7579;83.8447;82.1911;83.8447;486571.93473456
2017-03-29;84.2932;84.8991;83.1968;83.8447;795677.1017171
2017-03-30;84.4927;84.4927;83.2798;84.2512;996134.55660893
2017-03-31;83.8447;84.5327;80.817;80.817;1161795.7773361
2017-04-03;82.881;86.069;82.839;85.9831;891043.704403
2017-04-04;85.8285;87.8429;85.5881;86.8018;1103244.8752256
2017-04-05;85.7083;87.4383;84.9411;84.9411;1239534.2303102
2017-04-06;84.0938;84.4927;83.2388;84.2102;994626.50670492
2017-04-07;84.2932;84.8152;83.0394;83.9688;838542.81764745
2017-04-10;83.6873;85.3801;83.0814;84.0518;699304.4337721
2017-04-11;84.4516;86.3963;84.4516;86.0261;1033143.0863589
2017-04-12;86.0261;87.404;85.8715;86.9135;1576972.7101522
2017-04-13;87.2828;89.425;86.8018;88.9784;1346047.1976792
2017-04-18;89.3009;90.7962;89.2647;90.1139;1592465.0671578
2017-04-19;90.5147;90.7962;89.988;90.1139;1180426.8483532
2017-04-20;89.7027;91.2055;89.7027;90.5147;954876.44912386
2017-04-21;90.5967;91.8048;90.5967;91.3964;1147715.0556473
2017-04-24;91.487;95.5262;91.487;95.3545;1246139.677527
2017-04-25;95.6121;96.9766;95.0491;96.9766;1412026.2149528
