Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-02;24.9493;25.2072;24.7799;25.1271;675811.22822643
2017-01-03;25.1802;26.6389;25.1802;26.5319;3981814.5927053
2017-01-04;26.5496;27.0393;26.4965;27.0393;6117453.5672125
2017-01-05;26.8708;27.1724;26.7106;26.9499;3114391.2850261
2017-01-09;26.9499;27.1454;26.7637;27.1286;2129915.7479161
2017-01-10;26.9862;27.5643;26.9499;26.9499;2454615.4033748
2017-01-11;27.0299;27.5289;26.8;27.3958;3239349.4731114
2017-01-12;27.3502;27.4842;26.7637;26.7637;2312475.7195454
2017-01-13;26.773;27.0393;26.3541;26.5682;2217912.5051129
2017-01-16;26.2396;27.0216;26.0348;26.6483;2949747.5476899
2017-01-17;26.6483;26.6483;26.1232;26.194;3612041.305304
2017-01-18;26.194;26.5775;26.0608;26.2479;2817700.8512948
2017-01-19;26.2479;26.6836;26.1055;26.6836;1928444.852087
2017-01-20;26.5952;27.0756;26.5496;26.5775;2348772.2335307
2017-01-23;26.5151;26.5319;26.0161;26.0161;1332159.4041622
2017-01-24;26.0971;26.6836;25.7936;26.5235;3476985.8330677
2017-01-25;26.6389;28.1955;26.6389;28.0093;4320595.662838
2017-01-26;28.1955;28.6758;28.1247;28.1247;4196239.0150851
2017-01-27;28.027;28.418;27.582;27.6714;1481560.5391471
2017-01-30;27.6183;28;27.2534;27.2534;1184502.7361413
2017-01-31;27.2171;27.7421;27.2171;27.2804;1808956.3843099
2017-02-01;27.555;27.9199;27.4572;27.7067;3777455.2291015
2017-02-02;27.582;27.7682;27.2171;27.2171;1606490.7985741
2017-02-03;27.2347;27.7337;27.2264;27.6621;2123578.0908426
2017-02-06;27.6797;28.498;27.6797;28.1955;2605519.3150115
2017-02-07;28.1955;28.1955;27.7868;27.8399;2245069.9027624
2017-02-08;27.8399;28.0447;27.6621;27.7067;2980897.6692958
2017-02-09;27.8482;28.8183;27.8482;28.6945;2308731.1309762
2017-02-10;28.9077;29.779;28.8983;29.6189;7519140.2920085
2017-02-13;29.752;30.4018;29.6189;29.7967;3419536.5829652
2017-02-14;29.9745;30.17;29.4504;29.7967;2626424.9899207
2017-02-15;29.9745;31.0944;29.7427;30.7565;4516392.7443175
2017-02-16;30.6867;31.0944;30.2855;31.0777;6588587.4748023
2017-02-17;30.8822;31.0069;30.2231;30.3478;4438823.0442753
2017-02-20;30.4642;30.5703;30.1263;30.143;967112.50508696
2017-02-21;30.143;31.2992;30.143;31.2108;4020210.052779
2017-02-22;31.3086;31.6204;30.8645;31.5311;4128045.8249742
2017-02-23;31.3532;31.6465;31.0944;31.0944;1922914.9777456
2017-02-24;30.9613;31.1307;30.0806;30.17;2039434.4143107
2017-02-27;30.17;30.561;29.752;29.9308;1704916.7612839
2017-02-28;30.1076;30.1169;29.4672;29.6003;2677551.6214581
2017-03-01;29.726;31.4957;29.726;31.4873;3637796.8991432
2017-03-02;31.5041;31.7535;30.9352;31.478;2660503.3239304
2017-03-03;31.087;31.2825;30.7751;30.7751;2735672.2335387
2017-03-06;30.7751;31.5311;30.0639;30.4642;2790724.9899242
2017-03-07;30.3478;30.5443;29.6636;29.6636;2293935.3871575
2017-03-08;29.6189;29.7613;28.9337;29.1562;2552430.1581397
2017-03-09;29.3247;29.6096;28.8183;29.2186;3090509.0596507
2017-03-10;29.5211;30.09;29.0585;29.0585;2248431.0093697
2017-03-13;29.0585;29.8144;29.0324;29.752;1940429.469031
2017-03-14;29.7343;29.779;29.361;29.4411;2133323.0442275
2017-03-15;29.2456;29.3433;28.9077;28.9244;2618598.5205246
2017-03-16;29.4411;29.8414;29.281;29.8321;3117253.9725009
2017-03-17;29.7967;30.2147;29.7967;29.9652;6159155.3507561
2017-03-20;29.9652;29.9652;29.281;29.5472;2227570.4499854
2017-03-21;29.5565;30.3478;29.5565;29.726;3051952.4727022
2017-03-22;29.3517;29.4672;28.7652;28.836;2709384.9210129
2017-03-23;28.9961;29.2987;28.5157;29.0408;1904809.6879196
