Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-02;14.9391;15.3227;14.0318;15.2951;3389.9742387146
2017-01-03;14.9677;14.9677;14.9677;14.9677;38.5339578436
2017-01-04;14.9578;14.9578;14.2379;14.873;1696.5081966406
2017-01-05;14.8276;14.8276;14.2468;14.7714;1627.552693131
2017-01-09;14.7714;14.7714;14.7527;14.7527;1605.2435596426
2017-01-10;14.7527;14.7527;14.1255;14.2744;499.9274004446
2017-01-11;14.2744;14.2744;14.2744;14.2744;2.0281030444
2017-01-12;14.2744;14.2744;13.6117;14.2655;2140.6627633642
2017-01-13;14.2567;14.2567;14.2468;14.2468;1070.8384074432
2017-01-16;13.7133;14.2182;13.7133;14.2182;64.8992974208
2017-01-17;14.2182;14.2182;14.2084;14.2084;2.0281030444
2017-01-18;14.2084;14.2084;14.2084;14.2084;66.9274004652
2017-01-19;14.2084;14.2084;13.667;14.2084;165.2903981186
2017-01-20;14.2084;14.2084;14.2084;14.2084;2.0281030444
2017-01-23;14.2084;14.2084;14.2084;14.2084;2.0281030444
2017-01-24;14.2084;14.2084;14.0121;14.2084;489.7868852226
2017-01-25;14.2084;14.2084;13.7606;14.2084;278.864168605
2017-01-26;14.0318;14.0318;13.9372;14.0318;215.9929742286
2017-01-27;14.0318;14.0318;13.7784;14.0318;274.8079625162
2017-01-30;13.9372;14.5929;13.7695;14.5929;2682.166276219
2017-01-31;14.9677;16.0524;14.9578;15.9499;25179.913347748
2017-02-01;16.0988;16.5199;15.9124;16.2763;11389.82669735
2017-02-02;16.1836;16.1836;15.7625;15.9025;1615.3840748646
2017-02-03;15.9025;16.155;15.6886;16.155;2141.6768148864
2017-02-06;16.1737;16.1737;15.9025;15.9025;910.6182669356
2017-02-07;16.1737;16.1737;15.1067;15.8089;3766.1873534508
2017-02-08;16.0051;16.0051;15.8927;15.8927;2.0281030444
2017-02-09;15.8927;15.8927;15.3414;15.5288;688.5409835738
2017-02-10;15.8927;15.8927;15.8838;15.8927;57.8009367654
2017-02-13;15.8927;15.8927;15.8089;15.8089;2.0281030444
2017-02-14;15.8927;15.9025;15.1639;15.8838;2800.8103043164
2017-02-15;16.1639;16.1639;15.4341;15.5377;553.6721311212
2017-02-16;15.8927;15.9025;15.4341;15.8089;1023.1779858998
2017-02-17;15.8089;15.8089;15.4341;15.7625;1653.9180327082
2017-02-20;15.7063;15.7901;15.1728;15.7901;1435.8969554352
2017-02-21;15.7063;15.7063;15.3227;15.3227;522.236533933
2017-02-22;15.303;15.9025;15.303;15.9025;1828.3348945266
2017-02-23;15.9025;15.9025;15.9025;15.9025;220.0491803174
2017-02-24;16.0337;16.0337;15.303;15.9025;2875.8501169592
2017-02-27;16.0337;16.0337;15.9025;15.9025;1087.0632317984
2017-02-28;16.0337;16.0337;15.9025;15.9025;429.9578454128
2017-03-01;15.9025;15.9025;15.9025;15.9025;17.2388758774
2017-03-02;15.9025;15.9025;15.9025;15.9025;13.1826697886
2017-03-03;15.9025;15.9025;15.4341;15.9025;924.8149882464
2017-03-06;15.2665;15.4341;15.2665;15.2852;2849.484777382
